seed,PL_dispersal,capacity,habitat_width,sigma,kernel_exponent,mean_distance,sd_distance,max_distance,excess_kurtosis
16589,TRUE,10,50,2,5,1.96461,0.891828,9.77148,1.56098
29756,TRUE,10,50,2,5,1.9699,0.883805,7.93771,1.18801
25905,TRUE,10,50,2,5,1.9619,0.889719,13.5542,3.79965
45838,TRUE,10,50,2,5,1.97983,0.897567,10.6738,2.10198
14340,TRUE,10,50,2,5,1.96609,0.891289,12.3922,2.16531
45248,TRUE,10,50,2,5,1.97072,0.884779,9.59313,1.0256
39437,TRUE,10,50,2,5,1.97494,0.897007,11.1597,2.01197
20957,TRUE,10,50,2,5,1.97413,0.896811,10.7912,2.17337
24042,TRUE,10,50,2,5,1.97034,0.895633,16.1624,3.4891
17606,FALSE,10,50,0.2,1,0.313699,0.13648,1.00622,0.465979
50231,TRUE,10,50,2,5,1.96222,0.893098,12.4055,1.98899
41420,TRUE,10,50,2,5,1.96794,0.896971,10.8082,1.46358
3487,TRUE,10,50,2,5,1.97198,0.889271,9.45923,1.82848
52384,TRUE,10,50,2,5,1.97723,0.907074,15.6282,5.43945
19290,TRUE,10,50,2,5,1.97415,0.889696,11.8543,2.29636
22552,TRUE,10,50,2,5,1.97007,0.894922,13.1881,2.69414
53456,TRUE,10,50,2,5,1.96924,0.887666,9.73092,1.37893
21704,TRUE,10,50,2,5,1.96903,0.892223,11.3333,1.76608
1259,TRUE,10,50,2,5,1.97207,0.89452,12.2726,2.05204
8468,TRUE,10,50,2,5,1.96495,0.894018,10.2202,1.6712
31082,FALSE,10,50,0.2,1,0.314559,0.13726,1.0557,0.392272
42808,FALSE,10,50,0.2,1,0.315846,0.136739,0.982076,0.402959
29669,FALSE,10,50,0.2,1,0.314362,0.136746,1.00676,0.423702
16944,FALSE,10,50,0.2,1,0.316107,0.136515,1.01388,0.442169
32143,FALSE,10,50,0.2,1,0.317032,0.136583,1.03635,0.377704
5693,FALSE,10,50,0.2,1,0.315327,0.136614,1.18519,0.405042
49785,FALSE,10,50,0.2,1,0.315985,0.136631,1.08225,0.443034
3931,FALSE,10,50,0.2,1,0.316739,0.136713,0.998986,0.365466
61265,FALSE,10,50,0.2,1,0.315249,0.137223,1.10637,0.439297
21365,FALSE,10,50,0.2,1,0.316125,0.137975,0.981983,0.434499
25908,FALSE,10,50,0.2,1,0.31678,0.136615,0.948399,0.302393
11195,FALSE,10,50,0.2,1,0.315251,0.137065,1.06945,0.376224
57586,FALSE,10,50,0.2,1,0.316844,0.137633,1.09188,0.432737
44890,FALSE,10,50,0.2,1,0.318139,0.138259,1.08549,0.445775
30149,FALSE,10,50,0.2,1,0.314418,0.137042,0.978527,0.412104
20737,FALSE,10,50,0.2,1,0.314053,0.135783,0.964427,0.481773
22231,FALSE,10,50,0.2,1,0.316372,0.13599,1.00442,0.446669
12329,FALSE,10,50,0.2,1,0.314224,0.136622,1.04929,0.38394
45339,FALSE,10,50,0.2,1,0.315056,0.135057,1.00351,0.287104
39449,FALSE,10,50,0.2,1,0.316498,0.136968,1.02617,0.394815
7140,FALSE,10,50,0.2,1,0.316417,0.137256,1.02574,0.458415
54288,FALSE,10,50,0.2,1,0.315654,0.137077,0.975856,0.371536
11544,FALSE,10,50,0.2,1,0.316517,0.136923,1.0669,0.457223
30412,FALSE,10,50,0.2,1,0.31532,0.136342,1.1337,0.402769
8407,FALSE,10,50,0.2,1,0.316868,0.135679,1.03685,0.291939
62568,FALSE,10,50,0.2,1,0.31551,0.136352,1.01719,0.432854
2020,FALSE,10,50,0.2,1,0.3168,0.138236,1.01355,0.421524
21290,FALSE,10,50,0.2,1,0.316563,0.138385,1.05079,0.572849
8116,FALSE,10,50,0.2,1,0.314571,0.137887,1.13228,0.433806
7995,FALSE,10,50,0.2,1,0.315906,0.136189,0.986967,0.41106
7861,FALSE,10,50,0.2,1,0.314294,0.136971,1.01518,0.279313
19364,FALSE,10,50,0.2,1,0.315233,0.137307,1.02862,0.427495
39704,FALSE,10,50,0.2,1,0.316028,0.136334,1.06986,0.445338
36675,FALSE,10,50,0.2,1,0.317098,0.137937,1.0029,0.415265
29077,FALSE,10,50,0.2,1,0.314943,0.137027,1.09701,0.443355
60355,FALSE,10,50,0.2,1,0.315938,0.136524,1.03205,0.493686
55071,FALSE,10,50,0.2,1,0.316057,0.137306,1.02447,0.300208
12999,FALSE,10,50,0.2,1,0.315479,0.137561,1.10747,0.417957
978,FALSE,10,50,0.2,1,0.317155,0.136467,0.993666,0.350887
4511,FALSE,10,50,0.2,1,0.315729,0.137368,1.08572,0.348436
52658,FALSE,10,50,0.2,1,0.315599,0.137707,1.05466,0.448199
34559,FALSE,10,50,0.2,1,0.315209,0.137332,1.03524,0.363475
34565,FALSE,10,50,0.2,1,0.315328,0.136785,0.99237,0.359427
59298,FALSE,10,50,0.2,1,0.313662,0.135837,0.974524,0.409674
55579,FALSE,10,50,0.2,1,0.313964,0.137004,1.01678,0.301359
9675,FALSE,10,50,0.2,1,0.315703,0.137689,1.00262,0.423674
